Country,Admin1_Name,Admin1_PCODE,Admin2_Name,Admin2_PCODE,City/Locations,Acronym,Organisation,Type,Sectors,Activity / Project,Status Activities,Comments,
Liberia,Montserrado,LBR11,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Infection prevention and control,"EPI Surveillance and Laboratory: Contact tracing in Lofa, Margibi and Montserrado Counties; 119 volunteers trained to do 21-day-follow-ups of contacts (requires getting ‘linelisting’ from CHTs",,,
Liberia,Montserrado,LBR11,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Social Mobilisation/Health Promotion,"Health Promotion and Social Mobilization: Ebola awareness in communities, includes household visits, sessions at markets, schools, etc. Also have a mobile awareness team in Montserrado County and a youth drama group in Lofa. ",,,
Liberia,Montserrado,LBR11,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Surveillance/Contact Tracing,,,,
Liberia,Nimba,LBR12,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Social Mobilisation/Health Promotion,"Health Promotion and Social Mobilization: Ebola awareness in communities, includes household visits, sessions at markets, schools, etc. Also have a mobile awareness team in Montserrado County and a youth drama group in Lofa. ",,,
Liberia,Nimba,LBR12,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Surveillance/Contact Tracing,,,,
Liberia,Rivercess,LBR14,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Surveillance/Contact Tracing,,,,
Liberia,Rivercess,LBR14,,,,LRCS/IFRC,Liberian Red Cross Society with IFRC,Red Cross Movement,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,Lutheran Development Service,Lutheran Development Service,National Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Gbarpolu,LBR03,,,,Lutheran Development Service,Lutheran Development Service,National Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,Lutheran Development Service,Lutheran Development Service,National Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,Lutheran Development Service,Lutheran Development Service,National Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Lutheran Development Service,Lutheran Development Service,National Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,Foya,LBR0801,,Making Change,Making Change,International Organization,Case Management,"Currently focused on hygiene promotion exclusively (""Together we wash away ebola Eat, Drink, Live - CLEAN"" is one of their messages), awareness, and information gathering. Also trying to educate own staff about the virus. Going forward plan to add hygiene kits to outreach, but need funding (2000 Hygiene kits to the remote villages of Foya and border areas in Guinea and Sierra Leone, 2000 Hygiene kits and campaign t shirts to the most strategic places in Monrovia). Work closely with village elders and key leaders in Foya.",,,
Liberia,Lofa,LBR08,Foya,LBR0801,,Making Change,Making Change,International Organization,Social Mobilisation/Health Promotion,"Currently focused on hygiene promotion exclusively (""Together we wash away ebola Eat, Drink, Live - CLEAN"" is one of their messages), awareness, and information gathering. Also trying to educate own staff about the virus. Going forward plan to add hygiene kits to outreach, but need funding (2000 Hygiene kits to the remote villages of Foya and border areas in Guinea and Sierra Leone, 2000 Hygiene kits and campaign t shirts to the most strategic places in Monrovia). Work closely with village elders and key leaders in Foya.",,,
Liberia,Lofa,LBR08,,,,Making Change,Making Change,International Organization,Coordination,,,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,Making Change,Making Change,International Organization,Case Management,"Currently focused on hygiene promotion exclusively (""Together we wash away ebola Eat, Drink, Live - CLEAN"" is one of their messages), awareness, and information gathering. Also trying to educate own staff about the virus. Going forward plan to add hygiene kits to outreach, but need funding (2000 Hygiene kits to the remote villages of Foya and border areas in Guinea and Sierra Leone, 2000 Hygiene kits and campaign t shirts to the most strategic places in Monrovia). Work closely with village elders and key leaders in Foya.",,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,Making Change,Making Change,International Organization,Social Mobilisation/Health Promotion,"Currently focused on hygiene promotion exclusively (""Together we wash away ebola Eat, Drink, Live - CLEAN"" is one of their messages), awareness, and information gathering. Also trying to educate own staff about the virus. Going forward plan to add hygiene kits to outreach, but need funding (2000 Hygiene kits to the remote villages of Foya and border areas in Guinea and Sierra Leone, 2000 Hygiene kits and campaign t shirts to the most strategic places in Monrovia). Work closely with village elders and key leaders in Foya.",,,
Liberia,Margibi,LBR09,,,,Marwoda,Margibi Women Development Association,National NGO,Other,"Promotion of women rights, advocacy for women, business skills and training",,,
Liberia,Montserrado,LBR11,,,,Medecins du Monde,Médecins du Monde,International NGO,Infection prevention and control,"Provide fuel for investigation of cases and tracing supervision; provide supplies, awareness materials and financial support for health workers and CHVs. Provide food for various centers.",,,
Liberia,Montserrado,LBR11,,,,Medecins du Monde,Médecins du Monde,International NGO,Epi-Surveillance and Lab,"Provide fuel for investigation of cases and tracing supervision; provide supplies, awareness materials and financial support for health workers and CHVs. Provide food for various centers.",,,
Liberia,Montserrado,LBR11,,,,Medecins du Monde,Médecins du Monde,International NGO,Social Mobilisation/Health Promotion,Awareness campaign including bus with sound system and drama group.,,,
Liberia,Montserrado,LBR11,,,,Medecins du Monde,Médecins du Monde,International NGO,Surveillance/Contact Tracing,,,,
Liberia,Montserrado,LBR11,,,,Medica Mondiale Liberia,Medica Mondiale Liberia,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,Medica Mondiale Liberia,Medica Mondiale Liberia,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,Medica Mondiale Liberia,Medica Mondiale Liberia,International Organization,Protection,protection of women’s rights ,,,
Liberia,Sinoe,LBR15,,,,Medica Mondiale Liberia,Medica Mondiale Liberia,International Organization,Psychosocial Support,,,,
Liberia,River Ghee,LBR13,,,,Merci,Merci,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,MIA,Ministry of Internal Affairs,Goverment,Safe burial,,,,
Liberia,Bomi,LBR01,,,,MoH,Ministry of Health,Goverment,Triage,,,,
Liberia,Bong,LBR02,,,,MoH,Ministry of Health,Goverment,Safe burial,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Bong,LBR02,,,,MoH,Ministry of Health,Goverment,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Lofa,LBR08,,,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Lofa,LBR08,,,,MoH,Ministry of Health,Goverment,Surveillance/Contact Tracing,,Sufficient and adequate,,
Liberia,Margibi,LBR09,,,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,MoH,Ministry of Health,Goverment,ETC + Triage,,,,
Liberia,Montserrado,LBR11,,,,MoH,Ministry of Health,Goverment,Coordination,,Sufficient and adequate,,
Liberia,Montserrado,LBR11,,,,MoH,Ministry of Health,Goverment,ETC + Triage,,,,
Liberia,Montserrado,LBR11,,,,MoH,Ministry of Health,Goverment,Safe burial,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,,,,MoH,Ministry of Health,Goverment,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,,,,MoH,Ministry of Health,Goverment,Triage,,,,
Liberia,Nimba,LBR12,,,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,River Ghee,LBR13,,,,MoH,Ministry of Health,Goverment,Coordination,,,,
Liberia,River Ghee,LBR13,,,,MoH,Ministry of Health,Goverment,Surveillance/Contact Tracing,,,,
Liberia,Rivercess,LBR14,,,,MoH,Ministry of Health,Goverment,Coordination,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,ETC + Triage,,,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,Case Management,,,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,Safe burial,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,Social Mobilisation/Health Promotion,"Support for 400 gCHVs/CHVs, including training and two months' payment",,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,Monrovia,MSF-BE,Medecins sans Frontieres Belgique,International NGO,Kit distribution,,,,
Liberia,Lofa,LBR08,Foya,LBR0801,,MSF-CH,Medecins sans Frontieres Switzerland,International NGO,Case Management,"Management of ETUs, including providing expert medical staff",,,
Liberia,Lofa,LBR08,Foya,LBR0801,,MSF-CH,Medecins sans Frontieres Switzerland,International NGO,ETC + Triage,,,,
Liberia,Lofa,LBR08,Foya,LBR0801,,MSF-CH,Medecins sans Frontieres Switzerland,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,Voinjama,LBR0805,,MSF-CH,Medecins sans Frontieres Switzerland,International NGO,Case Management,"Management of ETUs, including providing expert medical staff",,,
Liberia,Lofa,LBR08,Voinjama,LBR0805,,MSF-CH,Medecins sans Frontieres Switzerland,International NGO,Triage,,,,
Liberia,Bomi,LBR01,,,,MTI,Medical Teams International ,International NGO,Infection prevention and control,"Vehicles, mobilization for the training of health facilities",,,
Liberia,Bomi,LBR01,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,"Train (MoHSW trainers), gCHVs, monitoring and supervising their health talks",,,
Liberia,Bong,LBR02,,,,MTI,Medical Teams International ,International NGO,Case Management,Provision of PPE and general infection prevention supplies to CHT,,,
Liberia,Bong,LBR02,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,MTI,Medical Teams International ,International NGO,Infection prevention and control,,,,
Liberia,Grand Cape Mount,LBR05,,,,MTI,Medical Teams International ,International NGO,Case Management,"Vehicles, mobilization for the training of health facilities",,,
Liberia,Grand Cape Mount,LBR05,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,"Train (MoHSW trainers), gCHVs, monitoring and supervising their health talks",,,
Liberia,Grand Gedeh,LBR06,,,,MTI,Medical Teams International ,International NGO,Case Management,Surge capacity for clinics in refugee camps with UNHCR,,,
Liberia,Maryland,LBR10,,,,MTI,Medical Teams International ,International NGO,Case Management,Surge capacity for clinics in refugee camps with UNHCR,,,
Liberia,Montserrado,LBR11,,,,MTI,Medical Teams International ,International NGO,Infection prevention and control,"Vehicles, mobilization for the training of health facilities",,,
Liberia,Montserrado,LBR11,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,MTI,Medical Teams International ,International NGO,Case Management,Surge capacity for clinics in refugee camps with UNHCR,,,
Liberia,Sinoe,LBR15,,,,MTI,Medical Teams International ,International NGO,Infection prevention and control,,,,
Liberia,Sinoe,LBR15,,,,MTI,Medical Teams International ,International NGO,Social Mobilisation/Health Promotion,Social mobilization through gCHV and Trained Traditional Midwife (TTM) networks,,,
Liberia,Maryland,LBR10,,,,MYA,Maryland Youth Association,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,NIPO,National Institute for Public Opinion,National Organization,Protection,,,,
Liberia,Grand Gedeh,LBR06,,,,Oxfam,Oxfam,International Organization,Social Mobilisation/Health Promotion,Ebola awareness and outreach,,,
Liberia,Montserrado,LBR11,,,,Oxfam,Oxfam,International Organization,Social Mobilisation/Health Promotion,Ebola awareness and outreach,,,
Liberia,River Ghee,LBR13,,,,Oxfam,Oxfam,International Organization,Social Mobilisation/Health Promotion,Ebola awareness and outreach,,,
Liberia,Grand Gedeh,LBR06,,,,Oxfam,Oxfam,International Organization,Recovery/Livelihood,,,,
Liberia,Montserrado,LBR11,,,,PLAN,PLAN,International Organization,Health Promotion,"Not doing case management, but donated some materials to the County Health Team through the Ministry of Health and Social Welfare.",,,
Liberia,Lofa,LBR08,Foya,LBR0801,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,"Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in Lofa",,,
Liberia,Lofa,LBR08,Kolahun,LBR0802,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,"Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in Lofa",,,
Liberia,Lofa,LBR08,,,,PLAN,PLAN,International Organization,Case Management,"Procured hand washing facilities for over 300 schools in Lofa, as well as awareness raising public speaking equipment, plastic buckets and faucets ",,,
Liberia,Lofa,LBR08,Vahun,LBR0804,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,"Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in Lofa",,,
Liberia,Lofa,LBR08,Voinjama,LBR0805,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,"Co-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in LofaCo-chairing social mobilization with UNICEF and logistics management with CHT in Lofa
Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in Lofa",,,
Liberia,Lofa,LBR08,Zorzor,LBR0806,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,"Support 5 local NGO to conduct intensive awareness and social mobilization exercises (night filming, town hall meetings, street/open air awareness, street drama/songs, etc) in 5 districts in Lofa",,,
Liberia,Montserrado,LBR11,,,,PLAN,PLAN,International Organization,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Grand Bassa,LBR04,,,,Prosper-USAID,USAID funded Land Rights and Community Forestry Program,National Organization,Social Mobilisation/Education,,,,
Liberia,Lofa,LBR08,,,,PSI,Population Services International,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Bong,LBR02,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Gbarpolu,LBR03,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Grand Bassa,LBR04,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Grand Cape Mount,LBR05,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Grand Gedeh,LBR06,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Grand Kru,LBR07,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Lofa,LBR08,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Margibi,LBR09,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,Maryland,LBR10,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Montserrado,LBR11,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Case Management,,,,
Liberia,Montserrado,LBR11,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Coordination,,,,
Liberia,Montserrado,LBR11,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training was conducted for all health facilities including hospitals in Montserrado County (public and private),,,
Liberia,Nimba,LBR12,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training of 38 teams covering all health facilities in seven additional counties,,,
Liberia,River Ghee,LBR13,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Rivercess,LBR14,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
Liberia,Sinoe,LBR15,,,,RBHS,REBUILDING BASIC HEALTH SERVICES,International NGO,Social Mobilisation/Health Promotion,Training for all health facilities in remaining seven counties,,,
